alpha,n_clusters,latent_weight,dim,age_weight,C,age_assort,phq9_assort,gamma,ks
0.51318359375,4,19.10498046875,6,2.56103515625,0.035851731601731586,-0.07402503227801256,0.0030103893733923193,7.217350852632858,0.15559223187963556
3.04443359375,4,19.10498046875,6,2.56103515625,0.16236194361194348,0.17422476147637989,-0.09229462189993826,7.5413624930968455,0.16112803821985955
0.51318359375,7,19.10498046875,6,2.56103515625,0.03598201798201795,0.034538090965341155,0.016645118508699965,7.608015324102139,0.1636506298418966
0.51318359375,4,18.22900390625,6,2.56103515625,0.035851731601731586,-0.07402503227801256,0.0030103893733923193,7.217350852632858,0.15559223187963556
0.51318359375,4,19.10498046875,4,2.56103515625,0.0331176601176601,0.07929781131588359,-0.04874922381872902,5.620462327277833,0.155878219470039
0.51318359375,4,19.10498046875,6,4.61767578125,0.03590476190476189,-0.041461095326587205,-0.0020041933124407517,5.933239043404044,0.16361761733034258
3.04443359375,7,18.22900390625,4,4.61767578125,0.22708229270729274,0.5627049835115682,0.006340102178437442,4.556213889191138,0.1484216709712785
2.76318359375,8,9.35498046875,4,4.81103515625,0.18050743700743702,0.6944427096368135,0.048741386466691315,9.033002155056343,0.15846739543564448
0.79443359375,8,9.35498046875,4,4.81103515625,0.02300402375402375,0.10404201566505986,-0.004697443486851294,8.591409306814752,0.1588621709351159
2.76318359375,3,9.35498046875,4,4.81103515625,0.1457485569985569,0.7689643962930802,0.07173720819506035,6.670758227108085,0.15869294486184826
2.76318359375,8,8.47900390625,4,4.81103515625,0.1755242535242535,0.7162147475493839,0.06897676758064701,8.00484710281414,0.16020208655378487
2.76318359375,8,9.35498046875,6,4.81103515625,0.16273341690988744,0.4948229623402548,0.03336304119834689,11.05355859532146,0.11148089452349996
2.76318359375,8,9.35498046875,4,2.36767578125,0.19160039470333584,0.5143647245283843,0.06337499187056203,4.34813344779195,0.14930337180312525
0.79443359375,3,8.47900390625,6,2.36767578125,0.03697458097458096,0.05770678110904676,-0.016665574975824667,30.930426484821236,0.19326205300091448
3.88818359375,2,14.22998046875,5,3.68603515625,0.16425360015801183,0.4699153530832324,0.0408299624464445,5.7562445695016455,0.15400304486725802
1.91943359375,2,14.22998046875,5,3.68603515625,0.07120909645909641,0.21479569554752606,0.0452927717990002,17.56914384153408,0.16347562745256805
3.88818359375,9,14.22998046875,5,3.68603515625,0.30503280787839626,0.6167252147901551,0.07081953207463576,12.998915640994566,0.1187638933570686
