alpha,n_clusters,latent_weight,dim,age_weight,C,age_assort,phq9_assort,gamma,ks
0.51318359375,4,19.10498046875,6,2.56103515625,0.0023571428571428576,0.025332306779748275,0.0008357410635402353,10.392726266907886,0.18322153489893944
3.04443359375,4,19.10498046875,6,2.56103515625,0.14342857142857138,0.2142185256695855,0.07761834231885781,2.9243101558088913,0.22949153766555563
0.51318359375,7,19.10498046875,6,2.56103515625,0.02823015873015873,-0.06571726603119975,-0.09486942564885462,6.629816174750956,0.17113046560505374
0.51318359375,4,18.22900390625,6,2.56103515625,0.0023571428571428576,0.025332306779748275,0.0008357410635402353,10.392726266907886,0.18322153489893944
0.51318359375,4,19.10498046875,4,2.56103515625,0.039587301587301595,0.08150859320771064,-0.010106193110833439,10.07634962115398,0.13464546831889657
0.51318359375,4,19.10498046875,6,4.61767578125,0.013166666666666669,0.07727147950662562,0.0029375407068707097,5.638691262023782,0.21586853694393104
3.04443359375,7,18.22900390625,4,4.61767578125,0.25333333333333335,0.5598052291801556,0.012203557561712096,9.922782828385756,0.25818643475812075
2.76318359375,8,9.35498046875,4,4.81103515625,0.10933333333333332,0.6341435269379885,0.05218768435944581,22.939259790988313,0.23168436111126578
0.79443359375,8,9.35498046875,4,4.81103515625,0.0023809523809523807,0.11276831425283336,0.01297115636610295,7.503648093271504,0.1823887363502853
2.76318359375,3,9.35498046875,4,4.81103515625,0.1241666666666666,0.7650987686728477,-0.056519659011830356,5.919706924890059,0.21185063101839668
2.76318359375,8,8.47900390625,4,4.81103515625,0.10833333333333332,0.6540548816968857,0.050682459301303454,31.16648221260893,0.17773141037971774
2.76318359375,8,9.35498046875,6,4.81103515625,0.201047619047619,0.5363283485193923,0.19433473454547703,30.19221637583896,0.21111322568397994
2.76318359375,8,9.35498046875,4,2.36767578125,0.1484285714285714,0.47502959233743053,0.09214861866521461,18.38029748391104,0.19326205300091448
0.79443359375,3,8.47900390625,6,2.36767578125,0.020357142857142855,-0.07225825795363165,-0.0033557689729279204,6.4042657964596605,0.18409828197194533
3.88818359375,2,14.22998046875,5,3.68603515625,0.11786507936507934,0.6206957790774332,0.01743222751556676,12.222665669295493,0.20512379091206379
1.91943359375,2,14.22998046875,5,3.68603515625,0.06300793650793649,0.40375334614835423,0.04029487377350282,8.227985674272526,0.17182192471612334
3.88818359375,9,14.22998046875,5,3.68603515625,0.29790476190476184,0.497524985875362,-0.03704672000622303,6.627434009947203,0.2151309305656366
3.88818359375,2,3.60400390625,5,3.68603515625,0.2023571428571428,0.8937510615019425,0.028177042216186415,6.040345707049292,0.1662851413364081
3.88818359375,2,14.22998046875,5,3.68603515625,0.11786507936507934,0.6206957790774332,0.01743222751556676,12.222665669295493,0.20512379091206379
3.88818359375,2,14.22998046875,5,1.24267578125,0.1284177489177489,0.244348739117171,0.03353910561504191,11.247362512030792,0.15692804236118463
