alpha,latent_weight,dim,age_weight,C,age_assort,phq9_assort,gamma,ks,mean_loss,std_loss
3.67724609375,16.09619140625,5,2.71923828125,0.13832990592998326,0.2685301431606833,0.022358009987660337,8.466498914003276,0.14952003884744164,0.7962950889331005,0.6993839855937024
3.72998046875,11.71630859375,5,2.15673828125,0.13613660783660775,0.29573570191546505,0.03876745320729909,11.564172689870999,0.14283514326894087,0.8040105852071736,1.0166699690664858
3.43115234375,15.60107421875,6,2.52587890625,0.10053811254105363,0.192781336477882,0.02312553128466348,7.321857432063501,0.13740708570879684,0.8100429680619637,0.65850357892929
3.26416015625,19.82861328125,6,3.43115234375,0.09644071435100839,0.20137928150246878,0.01628605422188126,9.322714571995784,0.13951282173795723,0.8431515176166358,0.7167376650992426
3.26416015625,16.28662109375,6,3.43115234375,0.09534592009297885,0.2517840452889618,0.0160535272270124,7.8546996260662665,0.13052504924090164,0.8870183625345648,0.8629377867868986
3.26416015625,19.82861328125,6,3.85302734375,0.09469231715996415,0.23387577272698343,0.012356151847471238,10.572019524092692,0.1352797179651284,0.9232142936701653,0.8597093623382771
2.56103515625,10.95458984375,5,2.48193359375,0.07482584376407896,0.2555376229804037,0.03466176155479776,12.88065365781075,0.14816856569838424,0.9325778044277288,1.0337653762490902
2.84228515625,11.44970703125,5,2.20068359375,0.08918517038517029,0.2369039256354931,0.032192028137900924,12.501836814875436,0.15583676042317363,1.0825675129093426,1.3311704199778998
4.28369140625,19.82861328125,6,3.43115234375,0.12761460723658852,0.2591483604733617,0.01012819464796438,7.2554741600598405,0.13757985305466502,1.2371701700921258,0.573631892608404
3.02685546875,11.10693359375,5,1.45361328125,0.10477036231742105,0.14181180679717492,0.042295596348945426,6.932312663160518,0.15739638818895244,1.3142409614803678,1.3621996452385858
