metric,param,S1,S1_conf,ST,ST_conf
mean_degree,alpha,0.00023844836425120815,0.003840057011322088,0.0010143468501452484,0.00013127312748986868
mean_degree,stub_gamma,0.3318555843728403,0.07163574772346727,0.4095622289265012,0.048334335975472084
mean_degree,degree,0.48801652963925873,0.08145519096392255,0.5511989246751522,0.08048631580184068
mean_degree,dim,0.09526256250603578,0.04408791846867548,0.12814800631061166,0.020713817829958087
mean_degree,n_clusters,-0.0058010270261681495,0.00979126222548365,0.006733283943538321,0.0023085814828605602
mean_degree,latent_weight,-0.0037332235951423724,0.003491474532957791,0.0008950379519528233,0.00013786672161423215
mean_degree,age_weight,-0.0025783499125518203,0.0038217976388686017,0.0009187817499861735,0.00013411819216513438
gamma,alpha,-0.005425127708869874,0.050731564827448145,0.4602481092917152,0.2832509648696027
gamma,stub_gamma,0.12035124290334587,0.20717175802075455,0.8156178750372908,0.4531507186964721
gamma,degree,-0.014316725713290922,0.06412792384262772,0.5344998313061718,0.6396905897068791
gamma,dim,0.027073695070939076,0.04709762560737994,0.4593654548379216,0.2916764495540415
gamma,n_clusters,-0.0033283313788821166,0.04949136324865882,0.643048778113774,0.4423596816044213
gamma,latent_weight,0.028426254980822033,0.06503183981423799,0.6203246962094873,0.4542903637747474
gamma,age_weight,0.009370041061258175,0.04922530755207292,0.6034708356725295,0.4306203550067206
ks,alpha,-0.02252320751683479,0.061101574184824176,0.24455220822920848,0.04991669005680922
ks,stub_gamma,0.5377560542541265,0.1121081868848336,0.9571019290021109,0.11227623485259937
ks,degree,0.00661395816393853,0.06893575375553893,0.3596132385731467,0.07377030222295905
ks,dim,0.10129774074081903,0.071796453116598,0.3983494118960608,0.06362737322480623
ks,n_clusters,-0.009614655496691826,0.06012841420876165,0.24526573282798717,0.054019137818593875
ks,latent_weight,-0.015497938345273724,0.05107529150846574,0.18997688240294852,0.04741108885078962
ks,age_weight,0.005245144456382192,0.05458270095040459,0.22130715846199348,0.05823228911206236
C,alpha,0.6537927961021046,0.1057830962785482,0.8245387810640861,0.11545546193589654
C,stub_gamma,-0.003332069025652991,0.049741538619078304,0.20485104866441767,0.03286039600604288
C,degree,0.08250861263121413,0.05196849893126526,0.1850576795023283,0.0357802537847232
C,dim,-0.02685097202122854,0.05427479105657531,0.14986194066485797,0.03139967829516493
C,n_clusters,-0.02805782711138217,0.02626780485760758,0.07760699746723906,0.015555921382447473
C,latent_weight,0.01923923877455935,0.0313083317838804,0.09000753897079711,0.01778403659145848
C,age_weight,-0.010483543100329364,0.03199833533126619,0.09154611822436048,0.017271767795100305
age_assort,alpha,0.22150191819676826,0.0588795768025683,0.29784363488270776,0.05351407916856124
age_assort,stub_gamma,0.037768223860249674,0.033178341061021896,0.06729402676075158,0.01054709652810243
age_assort,degree,0.019889213769103263,0.016700988435367662,0.018567461496268166,0.003139535049870538
age_assort,dim,0.35321052064251324,0.06483323454458544,0.44183305865627326,0.06864260183460029
age_assort,n_clusters,0.02090356541746173,0.020277647070190665,0.02256379645417316,0.004111638916936978
age_assort,latent_weight,0.16661611587265943,0.05240865297251997,0.2087693332684837,0.03262644133991673
age_assort,age_weight,0.1072131934909169,0.04981803325570761,0.15145242505031,0.025918357311187447
phq9_assort,alpha,0.052045115215896325,0.056783066841121166,0.27650390027998656,0.06481548274403764
phq9_assort,stub_gamma,0.009904562446095817,0.03994959825247397,0.11745942802802123,0.02694493466061905
phq9_assort,degree,-0.029282946777236214,0.039522625417678994,0.07367822734192223,0.013281987995270654
phq9_assort,dim,0.4975977915461256,0.12333436941311948,0.7325264751860127,0.13386548111774174
phq9_assort,n_clusters,-0.010099830463301727,0.03104054522804398,0.07621992139433063,0.018668731575830336
phq9_assort,latent_weight,0.0974434441137504,0.060312252777557245,0.2111317051556546,0.05783418453300122
phq9_assort,age_weight,0.030630199932924273,0.04010333716276339,0.11933107484187076,0.021101545110815752
lcc,alpha,0.02126929909760203,0.014858452995387557,0.017782190773260636,0.0038952629350592818
lcc,stub_gamma,0.5782920046417129,0.108310163211407,0.809716331085857,0.10578744008860634
lcc,degree,0.05361164469974834,0.06166153108332739,0.24676763667827592,0.06539601780086961
lcc,dim,0.06865186736133252,0.06360682085774144,0.2835556477209946,0.06671492456056693
lcc,n_clusters,-0.008899459121489022,0.016167280881735184,0.039454279933393455,0.025822938121703897
lcc,latent_weight,0.008445723745702403,0.020331127799294295,0.017029079316594125,0.004451784094391598
lcc,age_weight,0.00972894071321609,0.019022306682707657,0.019072229722484863,0.004778546554680323
