alpha,stub_gamma,degree,dim,n_clusters,latent_weight,age_weight,mean_degree,gamma,ks,C,age_assort,phq9_assort,lcc
0.51318359375,1.87646484375,8.31640625,6,6,11.52587890625,3.26416015625,4.6,2.526996888154815,0.12589879285368244,0.08924552141222622,0.04818785391466403,-0.06379003868407962,0.84
4.59130859375,1.87646484375,8.31640625,6,6,11.52587890625,3.26416015625,4.69,2.509529114999405,0.12345701710581813,0.1765345430144057,0.1749173314246544,-0.05553921456864558,0.85
0.51318359375,2.06689453125,8.31640625,6,6,11.52587890625,3.26416015625,5.06,2.844599996322827,0.14156740752768404,0.07346887863747802,0.04699670163165933,-0.08200084305723948,1.0
0.51318359375,1.87646484375,8.16015625,6,6,11.52587890625,3.26416015625,4.37,17.539722204644274,0.13035957752375604,0.08900248923308168,0.032658691062710965,-0.013899810475392517,0.805
0.51318359375,1.87646484375,8.31640625,6,6,11.52587890625,3.26416015625,4.6,2.526996888154815,0.12589879285368244,0.08924552141222622,0.04818785391466403,-0.06379003868407962,0.84
0.51318359375,1.87646484375,8.31640625,6,9,11.52587890625,3.26416015625,4.66,2.524554094437954,0.12400268780103885,0.09474133911772759,0.034909661322756746,-0.016667810909978535,0.83
0.51318359375,1.87646484375,8.31640625,6,6,4.06103515625,3.26416015625,4.66,2.5146577637606806,0.12418107027646319,0.08184473414330394,0.03839893408888426,-0.05280018666767293,0.83
0.51318359375,1.87646484375,8.31640625,6,6,11.52587890625,2.11279296875,4.67,2.5122641368395344,0.12384388612785457,0.10208944189550595,-0.07677522899934114,0.04598990090707007,0.87
4.59130859375,2.06689453125,8.16015625,6,9,4.06103515625,2.11279296875,4.87,2.884311904633461,0.1491270762127861,0.23791988510883383,0.3673827930577905,0.05014595930601555,1.0
2.76318359375,2.62646484375,6.31640625,4,10,1.77587890625,1.01416015625,5.93,21.44201537941755,0.1564514678026122,0.11379147502002196,0.47084924588916005,0.331641275808625,1.0
2.34130859375,2.62646484375,6.31640625,4,10,1.77587890625,1.01416015625,5.95,5.27726791140652,0.17810199968332208,0.10239890679495943,0.33460344345053367,0.20940165058628313,1.0
2.76318359375,2.81689453125,6.31640625,4,10,1.77587890625,1.01416015625,5.74,6.592695564474627,0.19010652721897348,0.10020279453948192,0.44092730525313195,0.2101542703214173,1.0
2.76318359375,2.62646484375,6.16015625,4,10,1.77587890625,1.01416015625,5.85,5.097508248249336,0.15471726556566512,0.12094396082298223,0.4794123128541677,0.21351202676655406,1.0
2.76318359375,2.62646484375,6.31640625,4,10,1.77587890625,1.01416015625,5.93,21.44201537941755,0.1564514678026122,0.11379147502002196,0.47084924588916005,0.331641275808625,1.0
2.76318359375,2.62646484375,6.31640625,4,5,1.77587890625,1.01416015625,5.99,7.258093735225464,0.1618613488740014,0.11217907932467766,0.46331830268724655,0.23480902594240688,1.0
2.76318359375,2.62646484375,6.31640625,4,10,13.81103515625,1.01416015625,5.95,10.522085540261706,0.17118509445772745,0.16772961259300267,0.14869447492602444,0.10332024283208184,1.0
2.76318359375,2.62646484375,6.31640625,4,10,1.77587890625,4.36279296875,5.9,10.134798365400561,0.1555531983462659,0.0943752751189823,0.7287630468562979,0.08770396036423785,1.0
2.34130859375,2.81689453125,6.16015625,4,5,13.81103515625,4.36279296875,5.55,5.61937874253554,0.1943155511353566,0.09425597686627095,0.3313373335121841,-0.016126708587285734,1.0
3.88818359375,1.50146484375,7.31640625,5,8,6.65087890625,4.38916015625,4.72,2.361026703864806,0.13271987318771417,0.1251148570689799,0.2874314697553517,-0.0435546342852086,0.745
1.21630859375,1.50146484375,7.31640625,5,8,6.65087890625,4.38916015625,4.7,2.362057117185369,0.1328808657061734,0.11534864270460422,0.1206078426835831,-0.03674208937030699,0.73
3.88818359375,2.44189453125,7.31640625,5,8,6.65087890625,4.38916015625,6.06,5.168862106995549,0.13299192463908072,0.21063804428920857,0.5390821817064901,0.025445300640855723,1.0
3.88818359375,1.50146484375,5.16015625,5,8,6.65087890625,4.38916015625,3.28,1.8864181695889215,0.13852522555515756,0.13752437761930963,0.26737516625139496,-0.07162168656760029,0.465
3.88818359375,1.50146484375,7.31640625,3,8,6.65087890625,4.38916015625,4.95,2.0612355200421346,0.10534677317533314,0.19506497924120084,0.6267627572475447,0.020167286554750908,0.765
3.88818359375,1.50146484375,7.31640625,5,3,6.65087890625,4.38916015625,4.52,2.3601933502288155,0.12912333639918594,0.1474717871277861,0.3412272280759758,0.04264992895094099,0.69
3.88818359375,1.50146484375,7.31640625,5,8,8.93603515625,4.38916015625,4.69,2.362977024512696,0.13302434177651667,0.1562557056715346,0.24525364643382513,-0.03515526017569048,0.68
3.88818359375,1.50146484375,7.31640625,5,8,6.65087890625,0.98779296875,4.71,2.3617039790237127,0.13282572462007014,0.14760535121803553,0.06876376756367095,0.023901630284609003,0.715
1.21630859375,2.44189453125,5.16015625,3,3,8.93603515625,0.98779296875,4.54,5.5129123086313045,0.15282582751300078,0.06515211233554884,0.15833080857185572,0.105792308031203,1.0
1.63818359375,2.25146484375,5.31640625,3,4,16.40087890625,2.13916015625,4.64,4.547279332549264,0.1566795696824146,0.0640131040699926,0.2774200422324548,-0.004408373555437009,1.0
3.46630859375,2.25146484375,5.31640625,3,4,16.40087890625,2.13916015625,4.63,4.558176485316568,0.157586174515001,0.1396894390868849,0.5017936319512953,0.037135598596375954,1.0
1.63818359375,1.69189453125,5.31640625,3,4,16.40087890625,2.13916015625,3.79,2.273424334793784,0.09621752217339508,0.0900287352971732,0.18564262787752833,0.07623241337260309,0.86
1.63818359375,2.25146484375,7.16015625,3,4,16.40087890625,2.13916015625,6.21,4.455645492541527,0.17540720175041669,0.10075373416311634,0.23991758761838303,-0.030733151996876384,1.0
1.63818359375,2.25146484375,5.31640625,5,4,16.40087890625,2.13916015625,3.83,3.9555726197278376,0.13534145853293156,0.08890347552344455,0.08542930712167628,0.008905169498139832,1.0
1.63818359375,2.25146484375,5.31640625,3,7,16.40087890625,2.13916015625,4.63,4.558902156750754,0.15764636879238103,0.10478640232316706,0.4162530610660657,-0.04816177324326635,1.0
