alpha,n_clusters,latent_weight,dim,age_weight,C,age_assort,phq9_assort,gamma,ks,mean_loss,std_loss
2.16552734375,4,7.98388671875,5,2.31494140625,0.17517958707958697,0.25967943186765846,0.0391833020996227,9.278048146275506,0.1703141132679605,0.583353840283162,0.41719788946893516
1.56787109375,5,13.92529296875,4,3.89697265625,0.13053460983460977,0.234520331842253,0.0110590717740697,8.283894988611275,0.15514752845623464,0.6481730107097425,0.747389154469442
2.22705078125,2,8.74560546875,4,1.44482421875,0.1453982628482627,0.22837312070590193,0.038561773062975244,6.525785910876619,0.1574631655432851,0.699759478047571,0.35940003044271474
1.77880859375,5,3.87060546875,5,2.13916015625,0.12849885669885666,0.259123602254134,0.04100808088152908,11.519539641741408,0.1782377699312675,0.7710690595939855,0.6900733070093207
0.97021484375,7,0.67138671875,6,1.75244140625,0.0740296814296814,0.2879271970188652,0.02509890876496144,7.950812535817795,0.1461059635041683,0.7878224645757699,0.4254817895928405
0.97021484375,7,0.67138671875,6,1.77001953125,0.07416777666777664,0.28883734972834707,0.02472951219248478,7.943836292706448,0.14813250950432316,0.7978327173118005,0.4112078346067744
1.91064453125,4,10.11669921875,5,2.64013671875,0.1520818403818403,0.2179586893925733,0.023446203496446362,6.617939433920435,0.1746961525256883,0.8289479054412083,1.0297469187999029
1.86669921875,4,5.77490234375,5,2.96533203125,0.1262713397713397,0.34427061827474204,0.037368678232343785,14.89805550752124,0.16077309029110193,0.8758314890451491,0.59284892491378
2.13916015625,4,14.95361328125,5,2.72802734375,0.19384077034077024,0.18743237443051927,0.028147937541257755,7.54930541233949,0.1802662981027044,0.879907470697664,0.6661332918390857
2.21826171875,9,11.56396484375,4,2.89501953125,0.17667163392163382,0.2364315872326328,0.034589860333379144,10.370556652530059,0.1780759076798986,0.9133524366085755,0.8103354319416735
