alpha,n_clusters,latent_weight,dim,age_weight,C,age_assort,phq9_assort,gamma,ks,loss
2.53466796875,6,11.41162109375,4,1.66455078125,0.0924084249084249,0.25569293016414835,0.0338431016488575,6.586098517890316,0.12759548189212577,0.023614099501109112
4.24853515625,4,16.78173828125,5,2.30615234375,0.18669047619047613,0.2247809959868763,0.029206621536102415,5.574382846423901,0.1851278001833419,0.028965973248371652
3.05322265625,9,8.82177734375,5,1.14599609375,0.17064285714285718,0.2733430073622352,0.027059329950726126,5.688042390667107,0.16869708702752517,0.03382597783025677
3.42236328125,6,13.81103515625,5,1.23388671875,0.2065,0.23584184247222384,0.02463449360363813,4.191125413362737,0.2040917085068764,0.04512143985850345
2.53466796875,6,8.40283203125,4,1.66455078125,0.08842307692307694,0.27667574235303166,0.03349952823713043,6.657537330001641,0.1236967642617115,0.05863641155499527
2.53466796875,6,11.41162109375,5,1.66455078125,0.12544444444444444,0.25813587040724356,0.03793962454539716,3.064997009769555,0.1976328935711621,0.07298370379245735
4.37158203125,4,19.44775390625,5,2.67529296875,0.19002380952380943,0.22466847911564558,0.03647734745627395,5.435765184411055,0.19085359318201134,0.07513718675764222
2.23583984375,6,17.12451171875,5,2.45556640625,0.12001587301587302,0.27889745947309746,0.0363671103751353,11.084315640532937,0.17580522907709883,0.08215846787680889
4.74072265625,3,18.30517578125,4,0.82958984375,0.2023809523809524,0.2805674837224938,0.03628678747219145,45.93325413651173,0.16418791449000025,0.08600971471903658
1.93701171875,9,11.10693359375,5,1.45361328125,0.07369047619047618,0.2252832206544632,0.031873007647856166,28.808475974257664,0.12466453737209748,0.10026902086124104
