alpha,stub_gamma,degree,dim,n_clusters,latent_weight,age_weight,mean_degree,gamma,ks,C,age_assort,phq9_assort,lcc,loss
4.94287109375,1.61865234375,6.34765625,3,2,18.53369140625,2.20947265625,4.9,2.0737112242048004,0.11737337626496769,0.1856126932500503,0.28604088842276976,0.0867033908182863,0.865,0.1583084202844145
4.94287109375,1.61865234375,8.25390625,6,2,18.53369140625,2.20947265625,5.28,2.0470946513138006,0.1508003707047223,0.1634033603302137,0.008275882965072897,-0.05214317555224677,0.865,0.5187655352905316
4.94287109375,1.61865234375,8.25390625,3,2,18.53369140625,2.20947265625,6.1,2.105797522617629,0.11743785178888044,0.204261234932301,0.25264849620637536,0.05781586090611623,0.87,0.5766611762605515
4.94287109375,1.61865234375,8.25390625,3,2,18.38134765625,2.20947265625,6.08,2.1077937892774505,0.11803449783344477,0.2201409588815484,0.26153004115348455,0.010458088516940498,0.87,0.5787859279809793
2.55224609375,1.61865234375,8.25390625,3,2,18.53369140625,2.20947265625,6.1,2.1056551353697177,0.11739523183559675,0.17144511452551925,0.13141606596584474,-0.021715967798118758,0.86,0.6576739904966392
1.67333984375,1.74755859375,7.41015625,4,2,10.76416015625,2.24462890625,5.64,3.121573592544397,0.13486600742901134,0.11055876179385621,0.11045139602937855,-0.04123170777561514,0.83,0.8668703289604822
1.26025390625,1.60107421875,8.16796875,5,2,9.81201171875,2.20947265625,4.89,2.340565196328688,0.13320855486959537,0.09006575888067,0.04158565654551941,0.00922958690756193,0.8,1.1151808116526922
2.49072265625,2.36279296875,5.38671875,4,2,2.95654296875,2.10400390625,5.16,4.054197831175594,0.16798508654410998,0.09140991224118157,0.5415138676819997,0.11434925991256978,1.0,1.6155552664963393
1.08447265625,2.43603515625,5.40234375,4,2,18.41943359375,2.20068359375,5.06,3.820273065215292,0.20841631503905622,0.059518812070282666,0.006863186047833711,0.027996206891176007,1.0,1.872282638182479
3.49267578125,1.84130859375,4.91796875,5,2,1.58544921875,2.28857421875,3.06,2.9821700603572694,0.11322661398118516,0.07690370250664366,0.6283376641167476,0.1320275754809588,0.725,3.43401933174073
