metric,param,S1,S1_conf,ST,ST_conf
C,alpha,0.8692829684710552,0.09153993067722906,0.9334264693082442,0.09599476577200097
C,n_clusters,0.028020200114838602,0.03020758045847751,0.06548116230798451,0.017193996938176012
C,latent_weight,0.013124856465062383,0.028075843537533677,0.05455492830969198,0.012365810727669915
C,dim,0.04115371386598369,0.03062047527474333,0.07112566873847144,0.012056317604907926
C,age_weight,-0.003108480805081916,0.021614341606784486,0.031567613845264776,0.006635096571505887
age_assort,alpha,0.2659405213747935,0.06863116477403643,0.33093389468876855,0.05412205090471448
age_assort,n_clusters,0.024587153443302465,0.019344975298853647,0.024969936881111616,0.00435888723687201
age_assort,latent_weight,0.1515530177195233,0.05680972444701804,0.20748466842221117,0.04317687933926062
age_assort,dim,0.30717341142497034,0.07176754450989302,0.41935253927053423,0.058515216598788375
age_assort,age_weight,0.1515384619567026,0.05311401055956406,0.1790682267807772,0.029709319044285948
phq9_assort,alpha,0.0900313479082535,0.05651952319977342,0.37254925229863056,0.09332475354342826
phq9_assort,n_clusters,0.05790563603345254,0.04489112281823895,0.1281771613758218,0.028049455542858197
phq9_assort,latent_weight,0.07190550791638008,0.04901161040763139,0.1564957167353804,0.04089098577084151
phq9_assort,dim,0.31917370265043554,0.14875297375670232,0.6875341151148262,0.14251256972427914
phq9_assort,age_weight,0.054226717658059136,0.038405356463135615,0.11703122544739177,0.03483959621234029
gamma,alpha,0.002589796673290813,0.08849276734248551,0.8632537174166407,0.20898440228752418
gamma,n_clusters,-0.06108864861350908,0.0881593337220887,0.7692258679917027,0.2427364931961785
gamma,latent_weight,0.05391238086723061,0.06756337579606951,0.66166449283659,0.2165493750319909
gamma,dim,-0.06379960002280398,0.09114460613781694,0.9512071852480246,0.2948143791018821
gamma,age_weight,-0.021828494514702437,0.11543896913712345,0.6447885766198334,0.17723649814593054
ks,alpha,-0.029959647213592032,0.09639854729175432,0.7488789961353358,0.10029942099196204
ks,n_clusters,-0.01418625385107875,0.10146562573783957,0.7467105362048236,0.11062777962116156
ks,latent_weight,0.03271173949554102,0.07859872275185192,0.5506546468202071,0.09462410945949273
ks,dim,0.059173871110107364,0.10607940329789357,0.7783288580241631,0.10664632898383365
ks,age_weight,0.04922615616313958,0.09322878411787514,0.5883445826962984,0.07908437050630916
