setting,n_anchors,mean_diversity,ci_lo,ci_hi,delta_vs_baseline
baseline,600,0.5333661259027819,0.5164443479354183,0.5488103737380976,0.0
temp_lo,600,0.4881675997376442,0.47175765605736525,0.5039191595986485,-0.0451985261651377
temp_hi,600,0.5963351566034059,0.5787549152323045,0.6135715359232078,0.06296903070062398
topp_lo,600,0.5359238240805765,0.5195174310621806,0.5518655320114145,0.0025576981777946095
topp_hi,600,0.5793335098214447,0.5632465282479923,0.5953540749886693,0.04596738391866284
both_lo,600,0.46973589845001695,0.4531151437663163,0.4853076660999407,-0.06363022745276492
both_hi,600,0.6294439953938127,0.6139708903515712,0.6449475885635862,0.09607786949103081
