alpha,n_clusters,latent_weight,dim,age_weight,C,age_assort,phq9_assort,gamma,ks,mean_loss,std_loss
4.02001953125,2,4.51806640625,4,0.91748046875,0.14100158730158724,0.5519145268082344,0.2592222133995282,11.072595075930542,0.1664865683513515,175802523.4201562,136108400.90800282
3.43115234375,2,19.90478515625,4,2.52587890625,0.1301206349206349,0.4189269887929825,0.0336614527127958,8.33518596663391,0.18456748081098204,189672172.92484626,201041924.04704484
3.67724609375,2,16.09619140625,5,2.71923828125,0.12660937950937945,0.40707720554151133,-0.0051090391795909195,6.817383318759404,0.17699363487417724,246964664.83124214,287359810.12546617
3.43115234375,2,15.60107421875,4,2.52587890625,0.14009365079365077,0.49405110158944315,0.0372075618506859,6.676240626125258,0.19529345629548492,260228764.99154592,185307932.79719704
3.72998046875,2,11.71630859375,5,2.15673828125,0.12598037518037514,0.42259858372918957,0.010579394516132478,5.97573373253851,0.18531787013506368,263090850.95942926,287128886.95834595
2.85986328125,2,16.24853515625,4,0.67138671875,0.14418412698412694,0.08989573870201498,0.06604467915224424,7.770782206832228,0.19802429166250646,281021307.99198484,190938493.07139826
3.23779296875,2,17.65771484375,4,3.17626953125,0.13048571428571426,0.5099774686755335,0.023181030871609602,8.4962632464343,0.19143227795726225,315628284.6192757,150644514.42912105
3.88818359375,2,14.22998046875,5,3.68603515625,0.1253333333333333,0.5519530902649655,0.00507647478389998,15.748719609979938,0.18418356307791633,345372369.9838535,253239097.58255997
3.88818359375,2,14.22998046875,5,3.68603515625,0.1253333333333333,0.5519530902649655,0.00507647478389998,15.748719609979938,0.18418356307791633,345372369.9838535,253239097.58255997
3.56298828125,2,5.88916015625,5,4.18701171875,0.13947186147186147,0.812704152418925,0.09960973204365385,8.975760105051926,0.19920598127250452,379015024.57313293,262976822.13823453
