model,seed,step,split,mean_score,std_score,n_samples
gemma-4-31B-it,38,0,train,3.6966,2.8563,2400
gemma-4-31B-it,38,0,val,3.7558,2.9769,300
gemma-4-31B-it,38,1,train,2.9382,2.4102,2400
gemma-4-31B-it,38,1,val,2.9939,2.5103,300
gemma-4-31B-it,38,2,train,2.8339,2.33,2400
gemma-4-31B-it,38,2,val,2.8895,2.4257,300
gemma-4-31B-it,38,3,train,2.8164,2.3209,2400
gemma-4-31B-it,38,3,val,2.8594,2.43,300
gemma-4-31B-it,38,4,train,2.7736,2.288,2400
gemma-4-31B-it,38,4,val,2.8153,2.4013,300
gemma-4-31B-it,38,5,train,2.732,2.2495,2400
gemma-4-31B-it,38,5,val,2.7913,2.3558,300
gemma-4-31B-it,38,6,train,2.7588,2.2766,2400
gemma-4-31B-it,38,6,val,2.8089,2.3916,300
gemma-4-31B-it,38,7,train,2.738,2.2589,2400
gemma-4-31B-it,38,7,val,2.7877,2.3753,300
gemma-4-31B-it,38,8,train,2.6799,2.213,2400
gemma-4-31B-it,38,8,val,2.7377,2.3221,300
gemma-4-31B-it,38,9,train,2.7107,2.2328,2400
gemma-4-31B-it,38,9,val,2.7857,2.3401,300
gemma-4-31B-it,38,10,train,2.6569,2.189,2400
gemma-4-31B-it,38,10,val,2.7357,2.2947,300
gemma-4-31B-it,38,11,train,2.6835,2.2065,2400
gemma-4-31B-it,38,11,val,2.7576,2.3132,300
gemma-4-31B-it,38,12,train,2.6651,2.1885,2400
gemma-4-31B-it,38,12,val,2.7467,2.2945,300
gemma-4-31B-it,38,13,train,2.6531,2.1767,2400
gemma-4-31B-it,38,13,val,2.7434,2.2836,300
gemma-4-31B-it,38,14,train,2.6125,2.1432,2400
gemma-4-31B-it,38,14,val,2.7136,2.2422,300
gemma-4-31B-it,38,15,train,2.6444,2.1734,2400
gemma-4-31B-it,38,15,val,2.7301,2.2831,300
gemma-4-31B-it,38,16,train,2.6091,2.142,2400
gemma-4-31B-it,38,16,val,2.7011,2.2496,300
gemma-4-31B-it,38,17,train,2.6412,2.1643,2400
gemma-4-31B-it,38,17,val,2.7287,2.2705,300
gemma-4-31B-it,38,18,train,2.6464,2.1681,2400
gemma-4-31B-it,38,18,val,2.7344,2.2737,300
gemma-4-31B-it,38,19,train,2.6787,2.1994,2400
gemma-4-31B-it,38,19,val,2.758,2.3085,300
gemma-4-31B-it,38,20,train,2.5442,2.0903,2400
gemma-4-31B-it,38,20,val,2.6409,2.197,300
gemma-4-31B-it,38,21,train,2.5853,2.1245,2400
gemma-4-31B-it,38,21,val,2.6751,2.2327,300
gemma-4-31B-it,38,22,train,2.6732,2.1928,2400
gemma-4-31B-it,38,22,val,2.7511,2.3029,300
gemma-4-31B-it,38,23,train,2.6517,2.1712,2400
gemma-4-31B-it,38,23,val,2.7397,2.274,300
gemma-4-31B-it,38,24,train,2.5926,2.1262,2400
gemma-4-31B-it,38,24,val,2.6857,2.2315,300
gemma-4-31B-it,38,25,train,2.57,2.1069,2400
gemma-4-31B-it,38,25,val,2.6671,2.2091,300
gemma-4-31B-it,38,26,train,2.5968,2.1324,2400
gemma-4-31B-it,38,26,val,2.6868,2.2392,300
gemma-4-31B-it,38,27,train,2.5821,2.1212,2400
gemma-4-31B-it,38,27,val,2.674,2.2288,300
gemma-4-31B-it,38,28,train,2.5777,2.1165,2400
gemma-4-31B-it,38,28,val,2.6702,2.2242,300
gemma-4-31B-it,38,29,train,2.5937,2.1283,2400
gemma-4-31B-it,38,29,val,2.6859,2.2356,300
gemma-4-31B-it,38,30,train,2.5961,2.1306,2400
gemma-4-31B-it,38,30,val,2.6871,2.2377,300
gemma-4-31B-it,38,30,test,2.4194,2.0066,300
