metric,param,S1,S1_conf,ST,ST_conf
C,alpha,0.895039669452941,0.10358162128715488,0.9401720134121927,0.0989217247610574
C,n_clusters,0.01468820146931825,0.026217226124621764,0.0612504542386478,0.01230149201192952
C,latent_weight,0.005395534328947932,0.019328213659573414,0.03074657265462843,0.005888244800486663
C,dim,0.03276215860991601,0.02987556295267609,0.0571801593281482,0.011392287263534463
C,age_weight,0.0002684578396617359,0.014991005163679514,0.015821224628110208,0.003016627328219406
age_assort,alpha,0.38585709976351157,0.07988768184917298,0.4146233533253001,0.06180839100578577
age_assort,n_clusters,0.011231792417857803,0.014355156802631424,0.014596854799100214,0.0023058243815118405
age_assort,latent_weight,0.10906108288777938,0.048920404576219184,0.15962903793645739,0.028275981128812362
age_assort,dim,0.310720900948042,0.07610411737572303,0.40841369977279585,0.06013191250181275
age_assort,age_weight,0.12637887383324034,0.04461390553165361,0.1449285251098839,0.02534997261472747
phq9_assort,alpha,0.17153463450555043,0.05728256006258597,0.297760873892129,0.061349551168519464
phq9_assort,n_clusters,0.028128471746068365,0.025631920681136396,0.05138442359992652,0.009760513876889311
phq9_assort,latent_weight,0.0766987647333497,0.04327395922046583,0.14378915209508059,0.037598290456089575
phq9_assort,dim,0.5040091189132999,0.11525901742950323,0.7075203358619072,0.13317781503677645
phq9_assort,age_weight,0.04215603003997848,0.03288425216412591,0.05629633894655821,0.014171804062001924
gamma,alpha,-0.0871544588955403,0.13824472516225175,0.9169290078310577,0.289394234642913
gamma,n_clusters,-0.07926575195714358,0.1265084043520221,0.6157325072813156,0.20083936101886934
gamma,latent_weight,-0.071924476136804,0.1298169964105059,0.6629270074218464,0.2903518527572595
gamma,dim,-0.07682661915898216,0.11755822066150036,0.7499515271342696,0.3568078248448216
gamma,age_weight,-0.07300234060781434,0.11621195029776128,0.7727486704640328,0.24983548238519315
ks,alpha,0.021793348684074235,0.11146200933460064,0.6336129799456357,0.09340665417573767
ks,n_clusters,-0.05793080857389945,0.10985753816963528,0.761106286928971,0.10677979234371118
ks,latent_weight,-0.05126010535905565,0.07831670700268968,0.45747386858170513,0.06992572294907466
ks,dim,0.04739263416733078,0.11280891710575776,0.8451318344190822,0.12371963113023751
ks,age_weight,0.036488678632683666,0.09308604717311272,0.5314886300921767,0.08589179846896432
