alpha,n_clusters,latent_weight,dim,age_weight,C,age_assort,phq9_assort,gamma,ks,loss
3.36083984375,8,17.16259765625,6,3.58056640625,0.20237579087579094,0.25661040926166095,0.027641446548024067,10.295799917807647,0.19589607613545118,0.008687410239764366
2.14794921875,8,9.77392578125,4,1.55908203125,0.11866232451758764,0.23579535899038764,0.027601042170356145,16.311430690290635,0.09863404677715515,0.015362079685431108
2.30615234375,4,10.72607421875,5,1.98095703125,0.1360737318237318,0.24263703712106607,0.03426612336658711,15.46372711809504,0.16515510920949317,0.022631486081336565
2.01611328125,7,14.53466796875,4,2.64013671875,0.11777980352980347,0.2728277022269136,0.027632232436785087,3.8789773253326354,0.19706462810501785,0.029389425324264605
2.41162109375,5,17.58154296875,4,1.73486328125,0.1762254412254411,0.2536220615795913,0.035251207538205674,10.466044071998926,0.17681951369148308,0.031222170903069068
3.67724609375,2,16.09619140625,5,2.71923828125,0.13113830613830613,0.2699178128075153,0.025459490477294146,7.732085038976295,0.15582106922462446,0.04053888600799041
2.49072265625,10,6.38427734375,6,1.70849609375,0.11999000999000992,0.21703997637074088,0.02920924934416865,5.458900224820123,0.17132317854368395,0.048977569894833886
2.61376953125,4,16.81982421875,5,2.78076171875,0.15091569541569527,0.25175241444589175,0.022907430435888467,7.294953963341597,0.1427877467614801,0.056030423641520055
2.13916015625,4,14.95361328125,5,2.72802734375,0.12059174159174157,0.21768198409012857,0.026834166083852307,7.184904564434553,0.1547020292463146,0.05755630053184352
2.95654296875,7,16.43896484375,5,1.77001953125,0.21115967365967375,0.2128025882775788,0.026424401740791397,34.51886187864099,0.12769660427870644,0.0881547210247619
