,Minimal,Mild,Moderate,Mod. Severe,Severe
Minimal,0.39085519182133593,0.3049072778109392,0.17568082459193343,0.1832330924328589,0.18353070878410815
Mild,0.3049072778109392,0.29888800367945806,0.206940789590331,0.20309291366168677,0.19098504537268093
Moderate,0.17568082459193343,0.206940789590331,0.2815671650915303,0.27336180156277906,0.23726791408249281
Mod. Severe,0.1832330924328589,0.20309291366168677,0.27336180156277906,0.3384319605911151,0.3196092718304997
Severe,0.18353070878410815,0.19098504537268093,0.23726791408249281,0.3196092718304997,0.3937240077006734
