setting,n_reps,mean_bal_acc,sd_across_reps,delta_vs_baseline
both_lo,3,0.4624145299145299,0.016404259610313193,0.034301994301994265
temp_lo,3,0.458960113960114,0.016695369396659502,0.03084757834757834
topp_lo,3,0.46083333333333326,0.016817705384675027,0.03272079772079761
baseline,3,0.42811253561253565,0.03734173101183752,0.0
topp_hi,3,0.4557549857549857,0.022464535378997664,0.027642450142450037
temp_hi,3,0.4585897435897435,0.001423949323209033,0.030477207977207876
both_hi,3,0.4394301994301994,0.028258959680095824,0.011317663817663748
