alpha,n_clusters,latent_weight,dim,age_weight,C,age_assort,phq9_assort,gamma,ks,loss
1.13720703125,7,12.74462890625,3,4.22216796875,0.10202514152514151,0.246293915675003,0.027834586846969996,6.577968361649503,0.15562161484516768,0.0058204628491943106
1.65576171875,6,10.68798828125,5,3.45751953125,0.11409307359307358,0.24115135845962987,0.0329117592064135,4.295093420888469,0.20426136847547494,0.012900311067258172
1.40087890625,6,3.52783203125,4,2.06005859375,0.11615984015984011,0.2645558911494331,0.03223003489550021,8.194441214662234,0.19204655463424736,0.014942238134793857
1.51513671875,8,5.62255859375,3,1.31298828125,0.13645087918617324,0.251698647957914,0.025416449018851973,4.57836597336735,0.14279010871981535,0.023471506435755615
1.46240234375,6,16.81982421875,3,3.38720703125,0.15128574203574197,0.27324508017515703,0.029503871506206012,9.323033309478149,0.1373721786325054,0.024288326195926028
1.62060546875,2,19.63818359375,3,2.31494140625,0.15271284271284258,0.2628463536141733,0.03608805110916353,3.273820094831708,0.1931682783527549,0.04851724261666957
0.99658203125,2,13.35400390625,3,2.95654296875,0.10299861249861246,0.22127963674699855,0.02569098760357844,26.162546958933465,0.13134508953018043,0.057291064942098804
1.96337890625,7,10.84033203125,3,1.49755859375,0.19679442779442777,0.2798953061738357,0.03485083031362615,12.8764580463892,0.1710027079278149,0.06586636442298835
1.56787109375,5,13.92529296875,4,3.89697265625,0.11976007326007324,0.2495882543024785,0.02217352503899159,5.73235075529421,0.13250088715936115,0.06806721299563186
1.26025390625,3,16.59130859375,3,3.36083984375,0.11622366522366519,0.28062867097678346,0.024839751418797306,7.3678809453805485,0.14700939694180004,0.07128087205774078
